singing,lyrics_onizleme,tur,tur_olasilik,duygu,duygu_olasilik,tema,eslesen_kelime,kelime_sayisi
Feridun Düzağaç,Hiç bir şeyi senin kadar istemedim ama yetmiyor Ne kadar istesem de...,pop,0.756,aşk,0.756,aşk,4,51
Feridun Düzağaç,Konuşmadan anlatsam ya da yüzüne bakmadan Ki yapamam Gözlerin dolar şimdi ya...,pop,0.8875,hüzün,0.4747,ayrılık,16,108
Feridun Düzağaç,"Ah bu seni sevmek bilmecesi gecelere dert oluyor, Bazen evrenimi kaplayan bu...",pop,0.5766,hüzün,0.5308,nostalji,8,98
Feridun Düzağaç,Belki güneş bir gün ikimiz için doğar Belki korkuları hayallerimiz boğar O...,pop,0.7649,yalnızlık,0.243,aşk,8,73
Feridun Düzağaç,Beni Rahatta Dinleyin Yağmurda tanıdım seni yağmurda Sevdim senide Seni yağmurdan çok...,arabesk,0.5045,hüzün,0.5045,aşk,4,70
Feridun Düzağaç,Ne konuşuyor bu insanlar Ne kadar uzak kelimeler anlamdan Aynama bir yabancı...,pop,0.6959,hüzün,0.7285,ayrılık,7,62
Feridun Düzağaç,"Bir ince pusudayım, Yolumun üstü engerek Bir yolun sonundayım Sessizce tükenerek Ben...",pop,0.4982,hüzün,0.6974,yalnızlık,9,117
Feridun Düzağaç,Aşık olmuşum dünyaya düşmüşüm Kuş olmuşum hep sevdaya uçmuşum Yaşım başım almışım...,arabesk,0.3886,hüzün,0.2571,umut,8,77
Feridun Düzağaç,Hadi bir masal uyduralım İçinde mutlu doygun telaşsız durduğumuz Bitirelim dokunuşlarla yaralara...,pop,0.9304,aşk,0.3387,aşk,13,88
Feridun Düzağaç,Bir gün ölürsem hiç istemeden Ben bir ağacın altında Ama denizi de...,pop,0.3001,öfke,0.4095,doğa,6,59
Feridun Düzağaç,Şarkılar yetmedi sen yetmedin Ben yetmedim ahh ne rüyaymış Sonsuza sürermiş bir...,pop,0.833,aşk,0.3536,aşk,6,81
Feridun Düzağaç,Gece biterken yıldızlar giderken Kelimeler biterken Söylenmedik sözler bile Tüm anlamlar biterken...,pop,0.7012,hüzün,0.2777,karanlık,7,73
Feridun Düzağaç,Vurdum gitarımın tellerine Biçare düşmüşüm ben ellerine Bir yarım aklım kalmış hattan...,arabesk,0.4855,hüzün,0.724,yalnızlık,23,119
Feridun Düzağaç,"Ben bir zaman kaybıyım, beni boşver hocam! Düşlerimden geçenleri kitaplarda bulamıcam Hangi...",pop,0.74,hüzün,0.6425,yalnızlık,8,100
Feridun Düzağaç,"Tüm eşyaları attım, yetmedi terk ettim evi Dağıttım kitapları, yaktım mutlu sonlu...",pop,0.6443,hüzün,0.5956,ayrılık,12,107
Feridun Düzağaç,Yüreğimdeki tüm çiçekleri sana kopardım sana topladım Güneşi odama aldım rüzgardan şarkılar...,pop,0.6986,hüzün,0.4799,özlem,10,69
Feridun Düzağaç,Çok su verilince ölür ya çiçekler Çok ağlarım çürür gözlerim gidersen eğer...,pop,0.9119,hüzün,0.828,ayrılık,21,116
Feridun Düzağaç,Bakışların gittiğin yerden uzak Yoksa gelirdim Sensiz anlamsızlığımı anladım Dön vesaire demek...,pop,0.7013,hüzün,0.7332,ayrılık,6,65
Feridun Düzağaç,Bana kötü davranıp durma Zaten iyi değilim Beni anladığını da hiç sanmam...,pop,0.7744,aşk,0.4433,aşk,9,88
Feridun Düzağaç,Eninde sonunda dersin elbet bir gün Her şey yolunda Gülerken ben ağlarken...,pop,1.0,genel,0.5486,özlem,7,88
Feridun Düzağaç,Kurda kuşa yem oldum Yalnızlar ormanında kayboldum Gecenin ayazında Kor gibi yanıp...,pop,0.5285,hüzün,0.8228,yalnızlık,10,76
Feridun Düzağaç,En kederli yıldız kayarken Dilek tutmuşum Bir keder seansında cesedimi bulmuşum İlacım...,pop,0.5597,hüzün,0.4403,hüzün,6,57
Feridun Düzağaç,Kara duman çıktı raydan Asılıdır eleğim Ben acıyı sende tattım Yarımcadır yüreğim...,arabesk,0.5078,hüzün,0.5078,aşk,4,36
Feridun Düzağaç,"Ben kuşlardan da küçüktüm, bir gece vaktiydi Aşk tuttu elimden benim Geçtim...",pop,0.8013,hüzün,0.4025,aşk,19,148
Feridun Düzağaç,Beni sana çağıran her ne ise sustur Yaşanınca tükenir bilirsin Gemilere yük...,pop,0.5117,hüzün,0.7368,nostalji,4,39
Feridun Düzağaç,GÖZLERİNİ VER UMUDUM OLSUNLAR ÖYLE GÜZEL PIRILTISI VAR SÖNMEZ ONLAR SAÇLARINDA DANSEDEN...,pop,0.6702,hüzün,0.3553,ayrılık,6,38
Feridun Düzağaç,Ne karşıdan gelen var Ne de beni geçip giden Kayboldum korkuyorum Aslında...,pop,0.8589,aşk,0.2998,aşk,7,93
Feridun Düzağaç,Ne karşıdan gelen var Ne de beni geçip giden Kayboldum korkuyorum Aslında...,pop,0.8589,aşk,0.2998,aşk,7,93
Feridun Düzağaç,Evimin bir odasında uyur mutsuzluk Oysa bende damla damla büyüyor uykusuzluk İnandığım...,pop,0.5023,hüzün,0.6096,aşk,8,54
Feridun Düzağaç,Onuncu ayın onuncu günü Saat on buçukta yanmış mumum Otuzbeş yıl olmuş...,pop,0.8408,aşk,0.8045,aşk,22,176
Feridun Düzağaç,Hayallerin verandası Kayan yıldızlarla dolu Bir tepede oturmuştum Zamanı durdurmuş kadar mesuttum...,pop,0.5143,nostalji,0.5143,nostalji,2,129
Feridun Düzağaç,Bu gece dumanımda kaybolasım var Bu gece kendimi unutasım var Kuş olup...,pop,0.8713,mutluluk,0.4571,aşk,7,53
Feridun Düzağaç,Gel gel gel yağmurlar dinmeden Ya da git git git hiç acı...,pop,0.8885,aşk,0.4917,aşk,37,129
Feridun Düzağaç,Gibiler ülkesinde Gibi gibi sevme beni Kara gözlükler ardından Görmezden gelme beni...,pop,1.0,aşk,0.5461,aşk,6,77
Feridun Düzağaç,Sesimin gölgesi ol Şarkılar söylerken yanımda bulayım seni Hüzün gözlerinden akmasın Yarın...,pop,1.0,aşk,0.5191,aşk,2,42
Feridun Düzağaç,"Gönül, aldanır aşka Aldatır aşkı, Kirletir, incitir Gönül, susuverir bazen Bi yalnızlık...",pop,0.4918,hüzün,0.3934,aşk,23,91
Feridun Düzağaç,İkimiz bir ağızdan konuştuk Yüreğim iplerinden kurtulmuştu artık Kelimem sana çarptı ve...,pop,0.6846,hüzün,0.6808,ayrılık,3,114
Feridun Düzağaç,hayat neden şekil yapıyor rüzgârında sesin bulutuyla yüzün yıldızın yalnızlığına vekil yapıyor...,arabesk,0.4601,mutluluk,0.3838,yaşam,12,88
Feridun Düzağaç,Hayata dair hazır cevaplar var Öyle çok düşünüp kendini heba etme sen...,pop,0.6767,mutluluk,0.2758,yaşam,16,104
Feridun Düzağaç,Bilmem nedendir popçu olamadım Aradım durdum imaj bulamadım Şu yalan dünyaya nam...,arabesk,0.3973,hüzün,0.4428,yalnızlık,18,86
Feridun Düzağaç,Hep uzağa baktım adım atamayarak Öksüz hüzünlerimden bir türlü kurtulamayarak Hep düşe...,pop,0.5187,yalnızlık,1.0,yalnızlık,1,58
Feridun Düzağaç,Hoptirinom tiri tiri nom Diyar diyar gezdim avare oldum Gönlüme göre bir...,pop,0.5134,hüzün,0.4866,aşk,4,65
Feridun Düzağaç,Haftayı yedi gün yılı dört mevsim sandığım zamanlar Başımda kavak yelleri Mutluluk...,pop,0.6753,mutluluk,0.512,aşk,6,65
Feridun Düzağaç,Delilik Biliyorum Senle Olmak Delilik Takılıp Kaldım Karşı Koymam İmkansız Yaşanan Yıllarım...,pop,0.7013,hüzün,0.7107,ayrılık,13,133
Feridun Düzağaç,İçinde kalbimi unuttum İçince düşüyor aklıma yaşamak İnansam düşerdim peşine Ama yalanlar...,pop,0.6748,umut,0.3577,umut,3,38
Feridun Düzağaç,Işıklarla oynuyorum karanlıklara kalarak Gözlerimi açtığımda bana bakıyorsun ağlayarak Gecelere bilmece çözümsüz...,pop,0.548,aşk,0.449,aşk,9,62
Feridun Düzağaç,aşk canını yaktı demek bense sevda küllerinim her dolunay gecesinde gökyüzünden topluyorum...,arabesk,0.4475,aşk,0.4694,aşk,13,109
Feridun Düzağaç,Sana gitme demeyeceğim Ama gitme lavinia Yalanlar istiyorsan yalanlar söyleyeyim İncinirsin yine...,pop,1.0,hüzün,0.8762,ayrılık,7,53
Feridun Düzağaç,Sana gitme demeyeceğim Üşüyorsun ceketimi al Günün en güzel saatleri bunlar Yanımda...,pop,1.0,hüzün,0.8251,ayrılık,5,37
Feridun Düzağaç,Gene öyle birdenbire Sevinmiştim durduk yere Coşmuş ve devirmiştim saksıyı mavi bir...,arabesk,1.0,hüzün,1.0,özlem,1,30
Feridun Düzağaç,Yağmur yağdı seni düşündüm Birlikte aktık geceye sessizce İnsanlara bahar gelmiş Bendeki...,pop,0.6766,hüzün,0.7513,ayrılık,13,67
Feridun Düzağaç,Otlarım yanar Sensizlik nadasında toprağım Birazcık dinlensin Büyüsün yeşersin Gelmeyişin Hiçbir şey...,arabesk,0.4924,hüzün,0.8393,özlem,10,72
Feridun Düzağaç,Uyumak istedim duymamak istedim Daha fazla görmeden kaçmak istedim belki Yollara girdim...,arabesk,0.4313,yalnızlık,0.2987,yalnızlık,6,94
Feridun Düzağaç,"Sana çok uzaktı yollar Bana çok derindi sular Yarın olsa da, gelmez...",pop,0.6953,hüzün,0.5779,umut,7,81
Feridun Düzağaç,Bir bir eksilse Şu yolun beyaz çizgileri gibi İçimde dolanıp durur Bu...,pop,1.0,mutluluk,0.4962,yaşam,8,116
Feridun Düzağaç,Yağmurumu yakar yokluğunun türküsü Özlem aşkın mı acının mı öyküsü Oysa ellerin...,pop,0.8102,hüzün,0.7963,özlem,5,39
Feridun Düzağaç,Yağmur yağdı seller doldu Arap kızı camdan bakmaya gayrı korkar oldu Natali...,arabesk,0.6473,yalnızlık,0.68,yalnızlık,2,47
Feridun Düzağaç,Bir ayrılık sahnesi dış gündüz İç paramparça Adam çok güzel oynamış Çok...,pop,0.8029,mutluluk,0.5364,aşk,18,88
Feridun Düzağaç,"yürüyorum yolumdasın aklımdasın, fikrimdesin, içimdesin ben bunun için kızamıyorum kendime sızlıyorum, özlüyorum,...",pop,1.0,hüzün,0.5585,özlem,11,74
Feridun Düzağaç,penceremin perdesini aralandıran rüzgar denizleri köpük köpük dalgalandran rüzgar gir içeri usul...,halk,1.0,huzur,1.0,doğa,2,119
Feridun Düzağaç,"Çölde suyun kokusu gibi ne çaresi, ne tarifi var Çürük dişin sızısı...",pop,0.5528,öfke,0.7739,isyan,4,66
Feridun Düzağaç,Her ada vapuru Sen demektir bana Canım seni çeker Bi simit alırım...,pop,0.6639,nostalji,0.6639,nostalji,3,72
Feridun Düzağaç,Yine bulutlar seyrini unutmuş Semaya baksana matem mi tutmuş Gökte ne ay...,pop,0.7563,hüzün,0.3546,nostalji,14,65
Feridun Düzağaç,"Bana her gün sen, sevgililer dünü Saatim hep ya sana vardır ya...",pop,1.0,nostalji,0.5078,nostalji,8,110
Feridun Düzağaç,Bir kez daha bu oyunu oynarsak biz seninle Gizlice açarım gözlerimi Ben...,pop,0.4558,öfke,0.7015,isyan,5,69
Feridun Düzağaç,Düşlerim biterken fikrin süzülür geceme İlk dokunuşunu düşler çoğalırım içimde Gözlerime yaslanıp...,pop,0.7724,hüzün,0.6684,ayrılık,8,64
Feridun Düzağaç,yatağım ısınmaz sensiz kış sensiz yaz sensiz yazarım avutmaz kalem kelam sensiz...,pop,1.0,mutluluk,0.547,umut,9,54
Feridun Düzağaç,Durgun gecelerde gökyüzüne sesini Çağresiz çırpınan ezgilere nefesini Versen de duysam Sevgi...,pop,0.8767,aşk,0.637,aşk,7,65
Feridun Düzağaç,"Yan yanaydık, rüzgarlı bi günün kuytusunda Ne dün vardı, ne de yarın...",pop,0.7015,aşk,0.3977,aşk,12,108
Feridun Düzağaç,Açtım pencereleri Hayatım havalansın Tel örgü çektim gözlerime Huzurum bozulmasın Adresim varmış...,pop,0.4737,hüzün,0.2778,özlem,6,60
Feridun Düzağaç,Son yaprağı düştü güzün İçimin buruk çığlığı artık yüzün Aşk bazen bir...,pop,0.6794,hüzün,0.3779,aşk,15,77
Feridun Düzağaç,Ağlarımı ağlayarak deydirdiğimde suya Yakaladım yalanları Ağlarım ağlarım boş çıkar Çinekoplar lüfer...,pop,0.5441,hüzün,0.9119,acı,11,89
Feridun Düzağaç,Sen adımı çağırınca Sus pus oluyor dünya Duruyor zaman durmasın Benimle döner...,arabesk,0.6694,hüzün,0.6694,acı,3,119
Feridun Düzağaç,İnanırdım duyduğum her söze Bir zamanlar saflık vardı Şimdi yerim yok aldanmaya...,pop,0.8817,aşk,0.5178,aşk,8,86
Feridun Düzağaç,"Bir sevda çekerdi kalbim sessiz tek başına Varamaz, dokunamazdı elim umutsuz yarasına...",arabesk,0.7494,yalnızlık,0.5456,yalnızlık,15,51
Feridun Düzağaç,Ne zaman arabamı yıkatsam mutlaka yağmur yağar Yağmurda yürüsem su sıçratır üstüme...,pop,0.5045,hüzün,0.6973,ayrılık,8,104
Feridun Düzağaç,Bana hüzün yapma bu gece gelemem Bu gece bu kent benden tenha...,pop,0.6586,hüzün,0.6657,yalnızlık,11,57
Feridun Düzağaç,Uzansam Çocukluğuma dönsem Derinlerde gizlenmiş yaralarımı görsem Bir bıçak yarasıyla acısız kalsam...,pop,0.3679,hüzün,0.2718,acı,7,78
Feridun Düzağaç,Belki bir dilenciyim belki de bir kral Hepsi bir hepsi bir Ya...,arabesk,0.6986,hüzün,0.6986,özlem,16,107
Feridun Düzağaç,Ne Kaybetmeler Buldum Ben Bir Elim Bile Kayıp Gitti Ötekinden Her şehre...,pop,0.6602,öfke,0.5137,isyan,5,57
Feridun Düzağaç,"Ben aslında öyle bir şarkı yazmak isterdim ki İçinde sen, ben ve...",pop,1.0,nostalji,0.3521,nostalji,5,84
Feridun Düzağaç,Bir yol bulup kendine Çoğu zaman gözlerimden Sustuklarımdan belki de Kim bilir...,arabesk,0.3478,hüzün,0.3478,hüzün,3,53
Feridun Düzağaç,"Uzak desem değil, korkuyorum sana gelmekten Çok önceden değil, bu yakınlarda gördüm...",pop,0.8193,aşk,0.3293,aşk,12,96
Feridun Düzağaç,Çok uzun gemiler geçiyor boğazdan Boğazımda düğümlenir adın Birazdan güneş batar Martıların...,pop,0.7669,nostalji,0.3211,aşk,8,59
Feridun Düzağaç,Kalbimin karşı kıyısında Suların tam ortasında Sevdalarım yanıyordu uymadım Yağmur yüklü bulutlarımdan...,pop,0.781,nostalji,0.3504,nostalji,5,50
Feridun Düzağaç,Yürüdüm adım adım Masallardan ışık aldım Güleç yüzüm mahçup kalbim Kıpkırmızı yürüdüm...,pop,0.5484,mutluluk,0.2832,isyan,14,119
Feridun Düzağaç,"Kaç kurtar kendini Ben oyalarım, git İçimde ne varsa sana alışan Hiç...",pop,0.5627,hüzün,0.4407,ayrılık,6,67
Feridun Düzağaç,Burada ne dilersem olur Bak hep yıldızlar kaymakta Onları saymayı bırak Onlar...,pop,0.8676,hüzün,0.2588,aşk,8,72
Feridun Düzağaç,Gözlerinde baharları beklerken İçimdeki kış beni vurur Sen bilmezsin yüreğimden sevdana Ne...,arabesk,0.5234,hüzün,0.757,acı,4,39
Feridun Düzağaç,"Her şeyi silip atmak, yok saymak, unutmak var İntikam çok sinsice aşkın...",pop,1.0,mutluluk,0.6507,sevinç,3,71
Feridun Düzağaç,"Dostlar bir araya geldik, dünü yaşadık bugün Kimi hüzne daldı, sustu kimi,...",pop,0.6555,hüzün,0.2584,yalnızlık,10,79
Feridun Düzağaç,"Bir yıldızın gökten kaybı kadar arsız Ah, bu gidiş çok zamansız Sensizliğin...",pop,0.738,hüzün,0.5545,özlem,12,63
Feridun Düzağaç,Bu arayışın bir buluşu Bu kayboluşun bir çıkışı yok belki Belki var...,pop,0.8029,hüzün,0.3942,aşk,5,79
Feridun Düzağaç,Aşk kapıdan kovdu beni Bilirim bacada çok is var Ürkekliğim inançsızlığımdan İçimde...,pop,0.7479,yalnızlık,0.5238,yalnızlık,3,48
Feridun Düzağaç,Sonsuz yolculuğuma seni son durak sandım Şarkılardan mirasdı aşk inandım Ararsam bulurum...,pop,0.7613,yalnızlık,0.496,yalnızlık,3,46
Kayahan,Bir felaket geldi başa Yaşabilirsen yaşa Boğulduk gözyaşlarına Sesimizi duyan gelsin Gelip...,pop,0.6048,aşk,0.4271,aşk,10,114
Kayahan,Sen sevdanın sultanısın Hem güneşim mehtabımsım 365 gün canım hayatımın tamamısın Akşamımsın...,arabesk,0.6367,hüzün,0.6937,acı,32,175
Kayahan,Sustu kapımın zili Mektuplar kesildi Sensiz uzun günlerin Uykusuz geceleri Gözüm yollardadır...,pop,1.0,aşk,0.8186,aşk,5,43
Kayahan,"Kim ağlattı üzdü seni Ağlaşma, sızlanma gönül Ben de hal kalmadı Yandım...",pop,0.5029,hüzün,0.6816,acı,6,53
Kayahan,Allah'ım neydi günahım Günahım neydi Allah'ım Dualarımda yalvarmıştım Onla olmaktı isyanım Can...,pop,0.413,hüzün,0.4022,isyan,5,62
Kayahan,Cok gec oldu donusun baharda beklemistim Olsun olsun yine geldin (dondun) yar...,pop,1.0,hüzün,0.3402,nostalji,6,87
Kayahan,Hep seni istedi özledi gözlerim aman Günleri aylara yıllara bağladı zaman Uz...,arabesk,0.5995,hüzün,0.8145,özlem,4,46
Kayahan,Bir işaretinle senin olur bu dünya Ve tabiki ben yanında Nerde olursan...,pop,0.6816,mutluluk,0.6449,ayrılık,3,55
Kayahan,bir daha bir daha gelmek olsa dünyaya düşünmeden düşerdim yine yollarına bir...,pop,1.0,hüzün,0.52,yalnızlık,4,60
Kayahan,Uykudan uyanmış Gülermiş bakarmış Annesi onu çok öpermiş severmiş Okula gidermiş yazarmış...,sanat,1.0,huzur,1.0,ruhanilik,1,39
Kayahan,Yalnız günlerimden biri 1997 İstanbul Hani her şeyi hisseden Hani benim yarımdın...,pop,0.7063,hüzün,0.341,aşk,31,218
Kayahan,Çok sevmiştim çok Gitti artık yok İşte bu halim Mecburen sarhoş AaaAtın...,arabesk,0.3532,öfke,0.4182,isyan,6,48
Kayahan,"Allah, Allah, Allah, Allah Aman aman şinanay Bozduk mor liramızı Bulduk tam...",pop,1.0,aşk,0.3473,aşk,3,74
Kayahan,BU NE ZULUM NEDIR BU ZAHMET BU GIDISIN SONU KIYAMET KIRACIYIZ BU...,arabesk,0.5232,öfke,0.4768,kader,10,107
Kayahan,Bir felaket geldi başa Yaşabilirsen yaşa Boğulduk gözyaşlarına Sesimizi duyan gelsin Gelip...,pop,0.6048,aşk,0.4271,aşk,10,114
Kayahan,"Dalga dalga uçuşuyor ask bayrakları Asi gönlüm sarhoş olmuş yaz zamanı Sonbahar,...",pop,0.5568,hüzün,0.5784,aşk,7,40
Kayahan,Başıboş saatlerde Alırım koynuma sevgilimi Başıboş saatlerde Çözülür ipleri dünyanın Başıboş saatlerde...,pop,0.6429,nostalji,0.6429,nostalji,3,33
Kayahan,Bekle gülüm hayat bir gün bize de güler Bir gün olur sona...,pop,0.45,huzur,0.3476,doğa,31,151
Kayahan,Ben Anadolu çocuğuyum Biraz da deli dolu Kızdı mı dünyaya yakarca bakan...,halk,0.5237,nostalji,0.4364,vatan,12,108
Kayahan,İNCECİK İPLİKLERLE BAĞLANMIŞIM HAYATA YAŞANACAK GÜNLERİM YİNE KALMIŞ YARINA BEN DE İNSANIM...,arabesk,1.0,hüzün,1.0,acı,1,88
Kayahan,El ayak çekilince Sohbetler tükenince Dostlar eve gidince Bu geceler işkence Öper...,pop,0.6853,hüzün,0.5953,aşk,7,43
Kayahan,Bu ne zulum nedır bu zahmet Bu gıdısın sonu kıyamet Kıracıyız bu...,arabesk,0.5232,öfke,0.4768,kader,10,107
Kayahan,"Gel, yağmurlarda ıslan benimle Gel, güneşlerde ısın Gel, gir koynumda uyu Bin...",pop,0.8776,hüzün,0.4678,aşk,9,44
Kayahan,Uzun uzun düşündüm dün gece Seninle hemen barışmam lazım Uzun uzun düşündüm...,pop,1.0,aşk,0.5597,aşk,13,87
Kayahan,Bir aslan miyav dedi Minik fare kükredi Fareden korktu kedi Kedi pırr...,pop,0.5029,öfke,1.0,ihanet,2,66
Kayahan,Bizimkisi bir aşk hikayesi Siyah beyaz film gibi biraz Gözyaşı umut ve...,pop,0.7456,hüzün,0.3989,aşk,21,286
Kayahan,çok sebebim vardı benim çok kırıldım söylemedim gözyaşımı göstermedim sana çok sebebim...,halk,0.3195,hüzün,0.4382,doğa,16,141
Kayahan,Hep karanlık hep karanlık Yeter artık yeter Bir avuç kar beyazı Bir...,pop,0.3942,genel,0.2889,karanlık,9,43
Kayahan,% ŞİİR % Neler yaşadım şu kısa hayatımda Sen benim tek hatıramsın...,pop,0.5779,mutluluk,0.3214,aşk,24,173
Kayahan,Ay ışığında saçların Dalgalı denizler gibi Gece öyle güzel Öyle ki Sessiz...,pop,0.8408,hüzün,0.3937,yalnızlık,17,57
Kayahan,Bu gün günlerden bayram Yanında olamadım Çalışıyorum yine yine babacağım Bu gün...,pop,0.7826,nostalji,0.7826,nostalji,5,37
Kayahan,Kucağını aç bana Kollarına al beni Çok aradım zor buldum Artık bırakmam...,pop,0.7837,aşk,0.6815,aşk,9,51
Kayahan,Canım bana bırak bu gece gözlerini Aklımı alıp götürme bu gece Gözlerimde...,pop,0.8612,hüzün,0.9352,yalnızlık,13,92
Kayahan,Bugün uyandığımda yoktun yanımda Canım bugün ilaçlarımı almadım Bugün ne kadar alışmışım...,arabesk,0.6223,hüzün,0.6223,acı,10,117
Kayahan,kimler üzmüş birtanemi kimler inciltmiş kimler kıymış kıymetlimi kimler ağlatmış neden küsmüş...,pop,0.8681,hüzün,0.2639,aşk,7,87
Kayahan,Yazık günah Kac gündür dargınız Devamı var Bitmedi aşkımız Hesabı var kaybolan...,pop,0.6723,hüzün,0.5855,özlem,8,45
Kayahan,Kırmızı pabuçları duruyor başucunda Başı düşmüş yastığa uyuyor mışıl mışıl E bebeğim...,pop,1.0,mutluluk,0.7,sevinç,6,76
Kayahan,Hevesim yok hiçbir şeyle efendim Yandım soğuk küle döndüm efendim Demem o...,arabesk,0.5401,hüzün,0.6108,acı,13,120
Kayahan,Bana bu aşkın lazım Bana yalan dünyada Denize düşmüş kalbim Boğulur imdatlarda...,pop,0.5536,öfke,0.3538,aşk,8,58
Kayahan,Buralara bahar geldi Kuru dallar yesillendi Kalkti karlar kalmadi engel Hayat kisacik...,pop,0.8922,aşk,0.5325,aşk,8,92
Kayahan,Akşam dalgalar vurur sahil boyuna vurur içimi yıkar Siyah kelebeklerim uçar delice...,arabesk,0.5205,hüzün,0.415,doğa,9,128
Kayahan,Sen beni bırakıp böyle gitmezdin hiç yapmazdın Ayları geçti ayrılık sen delisin...,pop,0.5806,hüzün,0.719,özlem,19,128
Kayahan,Unuttum unuttum Gençliğimi uzaklarda unuttum Yorgunum yoruldum Hayat kumar demişlerdi unuttum Buluttum...,arabesk,0.6273,çaresizlik,0.5498,kader,13,54
Kayahan,Geceler katran karası geceler Ellerim tütün kokar gecelerde Geceler olmaz olası geceler...,pop,0.9479,aşk,0.5116,aşk,38,106
Kayahan,"Duvarlar örüyorum duvarlar yıkıyorum Evler yapıyorum gül dallarıyla Koyverdi çimler, yağmur ve...",pop,0.803,aşk,0.6212,aşk,5,66
Kayahan,Soldu günesim hüzün yine Gün batiyor gurbette Ve büyüyor gitgide Yalnizligim icimde...,arabesk,0.7752,hüzün,0.8117,özlem,25,88
Kayahan,Sevda bir testi suymuş Gönül şeytana uymuş Bir yudum içtim yarap Gönül...,arabesk,0.8511,hüzün,0.5752,aşk,13,81
Kayahan,Öpüştüm resimlerinle Şarkımız çalındı dinledim Bütün gece bekledim Yine sabah oluyor Belki...,pop,0.6109,hüzün,0.7724,özlem,6,54
Kayahan,kaç gündür hasretinle alevlenirken düşünceler ben çılgın ben yine gözlerini hapsindeyim kaç...,pop,0.8591,hüzün,0.8711,özlem,7,51
Kayahan,Yaşadım sayfa sayfa Alacaklıyım bu hayattan Bir borcum şu canım var -...,arabesk,0.6259,hüzün,1.0,ayrılık,7,128
Kayahan,Güneşli bir resim çiz bana Sonra mavi bir deniz boya Sıcak kumlarda...,pop,1.0,mutluluk,0.672,umut,3,56
Kayahan,Seninle çok uzaklarda Issız bir adada olsak Başbaşa kalsak diyorum Sabahları balık...,pop,1.0,mutluluk,0.6473,aşk,3,85
Kayahan,Hep karanlık hep karanlık Yeter artık yeter Bir avuç kar beyazı Bir...,halk,0.3664,huzur,0.2767,doğa,10,60
Kayahan,Kim demiş yaralar kapanır diye Yaralar kapanır acısı kalır Eski bir fotoğrafa...,pop,0.855,aşk,0.5354,aşk,18,111
Kayahan,Erzurum'a karlar yagar Üsür kocaman daglar Erzurum'a karlar yagar Bir yerde bir...,arabesk,0.5938,hüzün,0.6521,özlem,5,99
Kayahan,Bugün uyandığımda yoktun yanımda Canım bugün ilaçlarımı almadım Canım bugün ilk defa...,arabesk,0.7507,hüzün,0.7507,acı,4,82
Kayahan,Aaah vallahi yandım burada Aaah vallahi yalan dünya Biraz acı canım biraz...,pop,0.4663,öfke,0.5842,isyan,14,75
Kayahan,Alıcı kuşlar gibi başımın üstünde dönüp durmayın Alıcı kuşlar gibi başımın üstünde...,pop,0.8085,hüzün,1.0,özlem,10,126
Kayahan,Yine yanlızım yine ne var beraber olsak seninle Yine yanlızım yine yola...,pop,1.0,aşk,0.7496,aşk,8,57
Kayahan,Senden dogacak yarinlar Senden dogacak Guller acacak heryerde Mumlar yanacak ellerde Kardes...,pop,0.4495,aşk,0.8659,aşk,4,81
Kayahan,Kaç kere söylemek istedim Sevdiğimi özlediğimi sana Beni hiç bırakma dediğim aklımda...,pop,1.0,hüzün,1.0,ayrılık,6,36
Kayahan,Kağıttan kayıklarla Denizler geçilmiyor Kilitler açılmıyor Bu can seni çok özlüyor Kağıttan...,sanat,0.6596,huzur,0.6596,ruhanilik,11,61
Kayahan,"18 Aralık 2004, İstanbul Yine saçlarını toplamış gidiyor güneş Deniz gidip gelip...",pop,0.7484,mutluluk,0.4845,eğlence,12,134
Kayahan,Dallar kiraz hava sicak yaz canim Dal dal kiraz aklimda dudaklarin Ozlemisim...,pop,0.8852,aşk,0.4537,aşk,8,65
Kayahan,İçimde salkım saçak kızıl siyah bulutlar İçimde salkım saçak sevdadır bu dediğim...,pop,0.9202,huzur,0.9096,aşk,12,118
Kayahan,Lapa lapa kar yağıyor Dans ediyor beyaz güller Unutmadım masal yüzlüm Nehir...,pop,0.4203,huzur,0.2732,doğa,12,74
Kayahan,Masum küçücük bir öpücükten ne çıkar Bir bahar akşamında bir vapurda Kimseden...,pop,1.0,mutluluk,1.0,umut,4,72
Kayahan,Sabah oldu mumlari sondurdum Yine benim uykumu oldurdun Yagdi yagdi ustume hatiralar...,pop,1.0,aşk,0.3705,aşk,11,68
Kayahan,Bir kuru çiçek gibi Saklıyorum sevgini Mektupların eskidi Ne çok özledim seni...,pop,0.6509,hüzün,0.3783,aşk,13,75
Kayahan,Evi beyaza boyattım Kapısına seni yazdım Erkenden uyandım Yağmurlara baktım Yağmurlara baktım...,pop,1.0,aşk,1.0,aşk,4,73
Kayahan,"Akşam oldu, penceremde Yorgun rüzgar esiyor, geçiyor Renkler suskun Bir mahsun mor...",halk,0.4622,hüzün,0.5378,doğa,4,34
Kayahan,"Bir geçen yazın sonrası Sonbahar sancısı, nar tanem İçimde bilinmeyen aşkların Yarım...",pop,0.7019,nostalji,0.3873,nostalji,10,70
Kayahan,Neler yaşadım şu kısa hayatımda Sen benim tek hatıramsın Hiçbir zaman doymadım...,pop,0.6385,hüzün,0.3599,aşk,14,110
